#1,,#2,,#3,
Balls,Squares,Balls,Squares,Balls,Squares
2671,0.0885216,62831,0.1029458,165314,0.0967748
827,0.1059776,65424,0.1156689,67918,0.0782575
163882,0.0758354,129170,0.1049356,105020,0.0803758
24951,0.09169,105351,0.1019393,51079,0.0779057
336055,0.0618312,126638,0.0599829,209940,0.0600285
92834,0.0618389,119108,0.0619716,61453,0.0641165
261065,0.0708228,168789,0.0570352,112559,0.0679417
116491,0.0671213,27128,0.0601134,82080,0.0599708
342623,0.0616315,153990,0.0642246,24315,0.0621408
18212,0.0580855,74152,0.0593453,81741,0.066316
13926,0.053538,68981,0.0617953,32464,0.0590306
45063,0.0633934,71393,0.0578767,124234,0.0732379
48172,0.068882,70787,0.0596789,23981,0.0587617
48479,0.0632722,123935,0.0618414,79026,0.0638296
45779,0.066017,95270,0.0569675,114302,0.0660815
4090,0.0558999,1789,0.0606532,74002,0.0685795
295581,0.0598016,134810,0.0620344,181661,0.0610007
69664,0.0658988,169614,0.0566575,140881,0.0646975
17091,0.0580609,14209,0.0584494,85616,0.0686198
19462,0.0643396,176404,0.0583646,56242,0.0584164
171093,0.0645079,44732,0.0620656,107800,0.0657384
6086,0.0555643,47371,0.06345,75639,0.0590998
270728,0.0609745,110049,0.069773,70456,0.0660196
62602,0.0713943,52351,0.0684194,65497,0.0674941
79893,0.0635601,130454,0.0557361,66178,0.0673862
68422,0.0607602,36965,0.0641662,53204,0.0650672
1065,0.0579111,89975,0.0587178,72459,0.0631997
135149,0.0645721,85732,0.0632988,99704,0.0688302
8991,0.0564606,74648,0.0627108,65803,0.0661794
339323,0.06046,180084,0.0600573,50588,0.0624245
7516,0.0591426,62872,0.0612224,79964,0.068938
335062,0.0618603,169771,0.0670638,56407,0.0680014
311265,0.0611326,98662,0.0649166,92343,0.0630846
5376,0.0582162,57443,0.0595194,103914,0.0646931
275784,0.0665963,82942,0.0635077,108117,0.0616523
314269,0.060093,42814,0.0602239,71138,0.0620656
219168,0.0645169,45507,0.060936,136267,0.0631101
198964,0.0670311,78905,0.0591923,126532,0.0583814
324274,0.0620698,225960,0.0568563,187402,0.0622076
1506,0.0608466,80901,0.0572146,81518,0.0688484
53900,0.0663611,140871,0.0580941,102668,0.0639593
139161,0.0635676,35100,0.060094,40711,0.0678158
2880,0.0535124,26150,0.0604014,44890,0.0634659
21544,0.0591801,92701,0.0613549,103625,0.0639971
386117,0.059479,146201,0.0545272,63272,0.0667515
288738,0.059223,216534,0.0577489,52798,0.0629229
351828,0.0601142,166773,0.0553421,187361,0.0591049
11520,0.0621259,144371,0.0612534,59327,0.0634036
306471,0.0635281,166250,0.0559663,181979,0.0655119
8481,0.0943464,46059,0.0908488,25768,0.0932617
40,0.0686387,28006,0.0909737,24076,0.1006895
2858,0.0824829,80262,0.100363,69414,0.0984908
76,0.0760733,41912,0.1004704,28767,0.0952291
2462,0.08548,23641,0.0912947,37916,0.0977086
4177,0.0795889,61901,0.1041373,45814,0.0921612
1779,0.0876788,40346,0.1046843,12667,0.0845081
1003,0.0758096,45931,0.0992476,14138,0.0787534
123,0.0685284,20763,0.0941868,61839,0.0985956
18763,0.0862112,30843,0.1024957,24350,0.1028914
7382,0.0813257,12268,0.093329,9468,0.0964049
5169,0.0814482,82503,0.0950012,11054,0.1015537
3098,0.0716415,52886,0.0935613,55425,0.1010042
466,0.1228373,91186,0.0945279,30680,0.0939284
231,0.0819515,17314,0.0889639,473,0.0888058
56319,0.0848309,12828,0.0869741,18286,0.0956114
5039,0.0937333,35429,0.1032358,14679,0.0976896
27140,0.0915217,27424,0.097151,39742,0.0984977
143,0.0856313,23029,0.0997869,24828,0.0961725
10204,0.089806,23197,0.1003695,38176,0.100139
275,0.0661853,42817,0.0971455,29569,0.0833182
3152,0.088268,47069,0.089245,3464,0.0836253
2122,0.0820912,2119,0.0918659,2318,0.0927096
1390,0.0742244,75329,0.0941023,58791,0.0999729
35023,0.0878006,49362,0.105738,20512,0.0920555
1696,0.0804734,43723,0.1006825,28854,0.0938038
2254,0.0798946,67952,0.1019028,2831,0.0834899
92,0.0673812,67272,0.0920533,71717,0.1004376
1128,0.0790897,31150,0.0978316,76294,0.0875683
16023,0.0942525,65594,0.0938819,27862,0.1025641
3056,0.0754549,62744,0.1000674,92284,0.0878769
31255,0.0846087,27111,0.096367,46027,0.0948302
1164,0.0787775,64016,0.0952834,49957,0.1017633
4237,0.0738255,47691,0.0976882,11156,0.0908408
8679,0.084575,23042,0.0974203,42561,0.0963607
1374,0.0780896,58799,0.0989677,58761,0.0967318
3772,0.0890859,71696,0.0954964,4919,0.088248
3171,0.0770898,50965,0.1025954,73923,0.0916507
267,0.0861582,58013,0.1018264,60146,0.0969741
30,0.0888922,16077,0.08932,21076,0.0946281
0,0,20157,0.0899747,55745,0.1027071
1921,0.0765207,42576,0.0983192,99056,0.1032769
13210,0.0929239,14816,0.0952341,5609,0.0954815
1519,0.0781089,49474,0.0997103,59148,0.0881868
1959,0.0767716,21820,0.0851313,36079,0.0990972
1705,0.0662719,13804,0.0622513,45353,0.1325756
87948,0.0899815,33306,0.0887764,55435,0.0663924
16594,0.0760893,5920,0.0823597,69762,0.0888076
9996,0.0614345,20268,0.0964716,33877,0.1018788
5008,0.0605218,70767,0.0856442,23244,0.1034784
56009,0.0980618,40893,0.0825311,28606,0.1074387
76384,0.0956392,65813,0.0914749,26024,0.0998355
83195,0.0925527,25389,0.0737994,69370,0.0838795
77812,0.0794046,9915,0.0831463,50452,0.1042312
41049,0.0818622,63624,0.1066131,60296,0.0569007
14367,0.0689511,51059,0.0976522,16633,0.0692726
13640,0.0673054,66212,0.0739218,45597,0.1001727
41531,0.0567298,83833,0.0761682,6671,0.0558107
119345,0.0704215,40515,0.0845422,59833,0.0900956
114827,0.0748513,63225,0.086219,19200,0.1037657
101997,0.0836841,26296,0.089544,95746,0.1050575
154825,0.0889967,32041,0.1029667,115911,0.0911179
69050,0.0839176,54969,0.0702079,31642,0.1093282
16500,0.0628838,74292,0.0722401,44781,0.1235979
12763,0.0556016,60044,0.0980522,97970,0.1094481
45127,0.0708708,1252,0.089125,44441,0.1053996
124833,0.0811779,17420,0.0715916,15879,0.0878883
25296,0.0809293,21310,0.0817873,51318,0.1026455
116976,0.0800062,51361,0.0873218,35652,0.1102021
118967,0.0727939,66311,0.0819565,34991,0.1138219
126282,0.0654429,45746,0.0748855,42891,0.0897062
15624,0.0541459,16642,0.08856,42530,0.1069088
27370,0.0661713,12068,0.061602,43195,0.1085721
34140,0.064855,11201,0.0600974,28533,0.0844934
44630,0.0688037,33423,0.0829329,35024,0.09324
24035,0.0627256,1749,0.0716818,23041,0.0808213
704,0.0966356,807,0.070917,3854,0.052378
17286,0.079222,18292,0.0891404,40311,0.075452
9539,0.0568226,24034,0.0778442,33452,0.1331226
380,0.0514261,8136,0.1135022,20206,0.0839147
18548,0.0697999,12673,0.0814132,18658,0.0852413
72300,0.0851486,138400,0.083176,3189,0.0663303
121044,0.088324,9302,0.0907913,27465,0.084997
7457,0.0917521,39183,0.0659789,10913,0.0984629
455,0.0471647,113439,0.0866314,10723,0.1090766
150,0.0462648,131273,0.0796768,41314,0.1190603
12697,0.0622356,49106,0.0838198,22840,0.1210482
21469,0.0628395,11208,0.0690071,31335,0.1138676
65392,0.0998466,35540,0.0699566,31166,0.0960247
12004,0.0563665,72512,0.0977191,17537,0.0755329
45240,0.1042983,1761,0.0743958,130100,0.0880611
1833,0.0806958,41570,0.1237998,131863,0.0864055
112420,0.0868882,36153,0.1075008,149136,0.0997936
33742,0.0761275,331,0.0597134,132690,0.086738
93173,0.089253,10131,0.1020767,153906,0.0944454
62844,0.0729593,94154,0.1067372,135948,0.1033831
125414,0.082869,92616,0.1108343,79072,0.0988341
20304,0.0609832,73333,0.0957822,82166,0.0948762
129506,0.0888563,92431,0.0866996,110463,0.091283
107250,0.0897987,71801,0.0742331,78418,0.0953639
87939,0.0747655,26950,0.0640845,59018,0.0893302
119767,0.0919107,16557,0.1008879,113654,0.0939748
23763,0.0707949,28606,0.0733215,103029,0.093921
18741,0.0574534,101811,0.0829819,93403,0.0874612
87715,0.0838897,205773,0.0827218,89698,0.0976447
6033,0.0503556,103654,0.100177,57974,0.0908911
101161,0.079327,88077,0.0840748,105961,0.0942722
37464,0.1095581,90402,0.0785604,104827,0.0897048
34943,0.1028739,6691,0.0784503,133432,0.1049922
488,0.0493864,16975,0.0506893,99128,0.0921032
101815,0.0782457,40080,0.0756588,89706,0.0996124
887,0.0643958,75788,0.0928198,64320,0.1022108
21678,0.0643546,9247,0.0929768,98925,0.0986282
137888,0.0830849,101860,0.0845267,55440,0.0992411
16592,0.0627436,115700,0.0700222,97291,0.0973214
22161,0.1032861,94178,0.0774994,80730,0.0933181
21368,0.0825766,52790,0.054687,70910,0.0897761
117034,0.0924001,7218,0.0465517,46750,0.0919148
162406,0.0981726,38659,0.0809662,62684,0.0863183
25583,0.108738,102693,0.0690629,76681,0.0978345
208468,0.0878509,49743,0.070837,64543,0.0929157
64302,0.1025494,122529,0.0747993,114149,0.0938915
220148,0.1130713,37507,0.0651666,143480,0.0934518
177496,0.0939979,10216,0.095051,109472,0.0939198
125876,0.090767,0,,119114,0.0853042
160377,0.0881387,6618,0.0515633,54172,0.0837827
15445,0.0873693,31299,0.0512879,100365,0.0935584
208916,0.0897073,52972,0.0667416,71653,0.0911876
65810,0.0983656,67973,0.0551437,89671,0.086281
158206,0.0975175,5118,0.0531099,61865,0.08109
277991,0.0984857,22,0.068919,100445,0.0898012
19872,0.0941111,2996,0.0746619,64940,0.0905119
98542,0.1101159,21377,0.0908722,73321,0.0968806
236590,0.083868,83488,0.1004622,74527,0.0958746
212791,0.1063688,55918,0.1221548,87385,0.0923144
282929,0.0965966,142321,0.0832753,50876,0.081331
121,0.0692792,71601,0.0739565,183530,0.0953539
45055,0.0819681,58657,0.0824991,96023,0.0966697
161484,0.0973329,142824,0.0918706,75381,0.0750635
128054,0.097136,95663,0.0702812,105535,0.0943226
171785,0.0914029,106776,0.0765489,180871,0.1031622
120547,0.1087073,248221,0.0900902,154358,0.0992478
70784,0.1032325,94114,0.0881375,138618,0.10289
50772,0.0853777,179176,0.0898897,185670,0.10607
122693,0.1060995,87361,0.1120525,168166,0.1000815
44178,0.0791529,55181,0.0954246,163996,0.0885458
68090,0.0873557,91490,0.0771069,172698,0.0938354
39567,0.0929385,81880,0.1030841,177010,0.096753
185605,0.0934058,28552,0.0752237,129057,0.098301
14414,0.1149108,160452,0.0971636,175061,0.1000069
125788,0.1009945,114918,0.0782577,119462,0.0938755
292588,0.0967541,167340,0.0878472,149554,0.1026057
136076,0.0948126,50498,0.0880754,166561,0.0927648
55985,0.0801749,72453,0.0815611,203287,0.0880572
103366,0.0859458,72349,0.0841858,191059,0.0877941
113410,0.0965247,44101,0.0876736,209003,0.0993311
124352,0.1001169,111352,0.0801043,122736,0.0970093
226887,0.0941627,77397,0.0861538,188139,0.0970653
133625,0.0942549,93776,0.0849971,96676,0.0944481
117466,0.0923662,154640,0.0804658,225050,0.1062057
85173,0.095297,75549,0.0751161,203462,0.0965637
39908,0.1039736,96172,0.0867373,178312,0.0912925
55940,0.0866529,74220,0.0871996,157598,0.0841677
24044,0.0909818,48106,0.0877844,197795,0.1003277
90015,0.0993847,99120,0.0825022,190758,0.1025938
24130,0.0709471,128771,0.1050926,177292,0.0992844
114955,0.0905262,80291,0.0806092,220490,0.1047815
5193,0.0723892,95490,0.0770493,234110,0.0892382
23948,0.0981689,55712,0.0885226,178127,0.0977452
113500,0.1024831,73352,0.0753463,83801,0.0848141
164588,0.1002582,67026,0.0772404,45358,0.0846053
167629,0.107065,101852,0.0710448,192442,0.0829936
169124,0.1094647,39736,0.0877307,141172,0.0875394
212358,0.0864687,66102,0.0903134,137270,0.0943159
137996,0.1006521,51015,0.0840169,160411,0.0924389
150153,0.1022915,207664,0.0953041,101388,0.0816428
216962,0.0976433,103907,0.0722131,47852,0.0861624
192802,0.1017441,98786,0.077752,104362,0.0961132
158191,0.1047006,102824,0.0843293,258320,0.102398
129259,0.0949482,143992,0.0954344,227863,0.0877973
123511,0.081278,18634,0.0637315,,
109086,0.093816,142094,0.0966901,,
107298,0.1087179,194439,0.1045822,,
107714,0.0968874,174115,0.0874145,,
95483,0.0840719,93563,0.0745006,,
54388,0.0862281,163471,0.0951277,,
43103,0.0767149,93187,0.101328,,
89747,0.1050638,166007,0.0955447,,
158696,0.0969268,150288,0.0981724,,
134733,0.0916997,199763,0.0975614,,
187340,0.1009073,33386,0.0721483,,
142385,0.098848,155688,0.0974507,,
155815,0.0950489,255243,0.0996335,,
66135,0.0885419,221977,0.0919095,,
105111,0.0983704,129673,0.0938863,,
206577,0.09092,174535,0.1009481,,
68368,0.0936149,160639,0.0927362,,
133388,0.098604,285286,0.0930392,,
106723,0.1066774,204370,0.087937,,
112478,0.106826,291542,0.1037936,,
158485,0.1050595,205962,0.094708,,
80807,0.0903883,274527,0.0968768,,
88406,0.1100322,253052,0.0932412,,
247379,0.0888327,183321,0.1030832,,
132300,0.0852028,194811,0.0941747,,
117579,0.0993313,195644,0.0987454,,
85262,0.0973534,29151,0.0687076,,
151330,0.099851,113894,0.0926617,,
,,214912,0.0981604,,
,,103740,0.0945322,,
,,186533,0.1038048,,
,,136522,0.0985078,,
,,166426,0.1054155,,
,,186240,0.0936026,,
,,332091,0.0946164,,
,,194561,0.1013962,,
,,129106,0.0846772,,
,,179162,0.1031575,,
,,181330,0.086986,,
,,281032,0.0931661,,
,,117119,0.0914193,,
,,102186,0.0884527,,
,,163206,0.1011491,,
,,180095,0.0729738,,
,,134832,0.1010722,,
